['Category', 'Description', 'Title', 'Brand', 'image_urls', 'Pric', 'Amount', 'Quantity', 'Total Amount', 'Denomination']
['2 In 1 Coffee', 'Size: 17.00G', '2 In 1 Black Coffee Bags 30sX17g', 'GOLD KILI', 'https://coldstorage-s3.dexecure.net/product_thumb/018927_1528885339662.jpg', '$4.95', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 18.00G', '2 in 1 Coffee O Less Sugar 8sX18g', 'COFFEEHOCK', 'https://coldstorage-s3.dexecure.net/product_thumb/5181034.jpg', '$1.20', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 16.00G', '2 In 1 Kopi O 35% Less Sugar 20sX16g', 'GOLD KILI', 'https://giant-sg.dexecure.net/assets/easyimage/2/2f7a8d88e4890b865eb9fd35a16807eb.jpg', '$4.70', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 9.00G', '2 in 1 Original Coffee - Zero Sugar 35+5sX9g', 'NESCAFE', 'https://coldstorage-s3.dexecure.net/product_thumb/Picture10.jpg', '$6.15', 0, 5, 0, '']
['2 In 1 Coffee', 'Size: 9.00G', '2 in 1 Original Coffee - Zero Sugar 35sX9g', 'NESCAFE', 'https://coldstorage-s3.dexecure.net/product_thumb/5189909-ZeroSugar_FRONT.jpg', '$6.15', 0, 35, 0, '']
['2 In 1 Coffee', 'Size: 12.00G', 'Coffee W/ Creamer 30sX12g', 'CAFE NOVA', 'https://coldstorage-s3.dexecure.net/product_thumb/3078123_1528886623960.jpg', '$4.85', 0, 30, 0, '']
['2 In 1 Coffee', 'Size: 10.00G', 'Coffee-O Kosong 8sX10g', 'COFFEEHOCK', 'https://coldstorage-s3.dexecure.net/product_thumb/5181032.jpg', '$1.20', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 2.00G', 'Essenso MicroGround Black Coffee - Colombian Blend 20sX2g', 'SUPER', 'https://coldstorage-s3.dexecure.net/product_thumb/EssensoBlack%20Colombian-01.jpg', '$2.45', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 2.00G', 'Essenso Microground Black Coffee - Mandheling Blend 20sX2g', 'SUPER', 'https://coldstorage-s3.dexecure.net/product_thumb/EssensoBlack%20Mandheling-01.jpg', '$2.45', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 16.00G', 'Instant MicroGround Coffee Essenso 2-In-1 25sX16g', 'SUPER', 'https://coldstorage-s3.dexecure.net/product_thumb/Essenso%202in1-01.jpg', '$6.50', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 20.00G', 'Ipoh White Coffee 2 In 1 Gao Kosong 15sX20g', 'NESCAFE', 'https://coldstorage-s3.dexecure.net/product_thumb/9556001262141%20-%20front_1.jpg', '$6.95', 0, 0, 0, '']
['2 In 1 Coffee', 'Size: 17.00G', 'Kopi O 15sX17g', 'NESCAFE', 'https://coldstorage-s3.dexecure.net/product_thumb/5147978_1528884924782.jpg', '$3.80', 0, 15, 0, '']
['2 In 1 Coffee', 'Size: 14.00G', 'Kopi O Gao Siew Dai 15sX14g', 'NESCAFE', 'https://coldstorage-s3.dexecure.net/product_thumb/5209855_1528886805219.jpg', '$3.80', 0, 15, 0, '']
